path,size,is_empty,has_path,path_count,path_tokens,image_count,base64_image_count
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片20.SVG",5236,0,1,6,134,0,0
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片12.SVG",3189,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片2.SVG",56836,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片3.SVG",127294,0,1,2,22,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片13.SVG",344104,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片11.SVG",1192,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片1.SVG",54188,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片10.SVG",567761,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片14.SVG",527847,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片4.SVG",849,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片5.SVG",474786,0,1,1,12,1,1
"/Users/xiaoxiaobo/random2000/EAD29nq102s_紫红色开放空间设计现代房地产宣传中文演示文稿/幻灯片15.SVG",815561,0,0,0,0,3,3
